cluster,size,top_go_term,k,p_value
0,17,GO:0004725,3,3.2836757853055514e-05
1,26,GO:0030574,3,0.00012555230943815343
2,19,GO:0030276,3,0.00044560121924355366
3,9,GO:0004930,6,3.989042153063084e-12
4,21,GO:0005615,10,0.0005677085517069931
5,4,GO:0019814,4,3.88646678341289e-10
6,24,GO:0010001,2,0.0022124248496993987
7,5,GO:0016020,5,0.00020361357366013204
8,19,GO:0006511,3,0.00044560121924355366
9,7,GO:0000786,5,4.91981865544447e-10
10,38,GO:0061630,3,0.01148440915273936
11,5,GO:0030246,4,2.4287283148924586e-07
12,20,GO:0031201,4,1.8829931565635447e-06
13,26,GO:0000398,6,8.259753882638275e-07
14,13,GO:0005743,6,2.6573444890320956e-06
15,23,GO:0005615,16,5.564760306623713e-09
16,30,GO:0000981,17,6.274716173067539e-16
17,35,GO:0050661,3,0.00031605379433565927
18,12,GO:1903861,2,0.000529058116232465
19,21,GO:0016604,5,0.00018199455412671922
20,22,GO:0005743,5,0.0010320463712326499
21,19,GO:0005886,17,1.8726753887775353e-07
22,35,GO:0005524,17,6.358236774163246e-12
23,19,GO:0031012,11,6.446902149463276e-10
24,17,GO:0097229,2,0.0010901803607214428
25,14,GO:0005509,5,0.00037285799147403816
